algorithm,n_qubits,depth,1_qubit_gates,2_qubit_gates,hardware,kwh,execution_time
get_grover,3.0,166.0,134.0,84.0,superconducting_ibm,1.2083621162269103,28631.19266055046
get_grover,4.0,590.0,467.0,288.0,superconducting_ibm,4.271688322317784,101214.3046357616
get_grover,5.0,1545.0,1040.0,920.0,superconducting_ibm,12.56209460557824,297648.97959183675
get_grover,6.0,4401.0,2823.0,2632.0,superconducting_ibm,36.367886104069434,861708.5389550871
get_grover,7.0,11417.0,7118.0,6840.0,superconducting_ibm,95.21788292079194,2256113.0591775323
get_grover,8.0,33129.0,20309.0,19864.0,superconducting_ibm,277.7793246785051,6581763.243969831
get_grover,9.0,91949.0,55832.0,55152.0,superconducting_ibm,773.2771375195464,18322195.31463995
get_grover,10.0,265933.0,160611.0,159536.0,superconducting_ibm,2240.1857732263,53079444.98371061
get_grover,3.0,200.0,144.0,84.0,superconducting_rigetti,0.9595946270337691,22736.84210526316
get_grover,4.0,841.0,1008.0,288.0,superconducting_rigetti,2.9972622259473183,71017.77777777778
get_grover,5.0,2397.0,1929.0,920.0,superconducting_rigetti,10.580135070766973,250688.0028080028
get_grover,6.0,6915.0,5393.0,2632.0,superconducting_rigetti,30.81720623564026,730189.5327102805
get_grover,7.0,18078.0,13852.0,6840.0,superconducting_rigetti,80.96076814681008,1918301.9060506478
get_grover,8.0,52682.0,39973.0,19864.0,superconducting_rigetti,236.55701965088812,5605033.055801595
get_grover,9.0,146581.0,110624.0,55152.0,superconducting_rigetti,659.082523453266,15616443.49387125
get_grover,10.0,424612.0,319528.0,159536.0,superconducting_rigetti,1910.3819492966468,45265002.03129435
get_grover,3.0,240.0,206.0,84.0,ion_trapped_ionq,21.726738,64725517.24137931
get_grover,4.0,810.0,791.0,288.0,ion_trapped_ionq,77.668713,209883086.19091755
get_grover,5.0,2722.0,2486.0,920.0,ion_trapped_ionq,246.578058,709358314.7386965
get_grover,6.0,7816.0,7040.0,2632.0,ion_trapped_ionq,702.72288,2044184615.3846154
get_grover,7.0,20406.0,18281.0,6840.0,ion_trapped_ionq,1825.683543,5338438183.591418
get_grover,8.0,59400.0,53025.0,19864.0,ion_trapped_ionq,5299.528095000001,15546384708.255016
get_grover,9.0,165154.0,147147.0,55152.0,ion_trapped_ionq,14711.189301,43232555059.24399
get_grover,10.0,478118.0,425533.0,159536.0,ion_trapped_ionq,42550.224579,125169241883.41885
get_grover,3.0,187.0,135.0,84.0,neutral_atoms,11826.0,15523.561643835616
get_grover,4.0,705.0,600.0,288.0,neutral_atoms,47952.0,56018.91891891892
get_grover,5.0,2382.0,1842.0,920.0,neutral_atoms,149148.0,190525.5032585083
